,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Spectus CHASE - Titanium,https://eyewa.com/ae-en/spectus-chase-titanium-306-0718.html,69195,no,549,,,Clear,Spectus,Black,Titanium,Oval,Wide (>139 mm),Full Rim,56 mm,15 mm,Men,Glasses,No,141.9 mm,,,,,,,,,,,
Mr. Wonderful Tortoise Round,https://eyewa.com/ae-en/mr-wonderful-tortoise-round-mw29010595.html,55616,yes,309,Glossy,Full,,Mr. Wonderful,Tortoise,Metal,Round,Wide (>139 mm),,48 mm,22 mm,Women,Sunglasses,No,140 mm,216,,,,,,,,,,
Spectus CAREY,https://eyewa.com/ae-en/spectus-carey-000258-0100.html,69255,no,399,,,Clear,Spectus,Black,Stainless Steel,Round,Wide (>139 mm),Rimless,50 mm,17 mm,"Men, Women",Glasses,No,123 mm,,,,,,,,,,,
Babamio ALFIE - Kids Ages 2-4 Years ,https://eyewa.com/ae-en/babamio-alfie-kids-ages-2-4-years-000153-0200.html,69085,no,399,,,Clear,Babamio,Black,Nylon,Round,Narrow (< 131 mm),Full Rim,45 mm,16 mm,Kids,Glasses,No,42 mm,,,,,,,,,,,
Babamio MIA Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-mia-kids-ages-2-4-years-000132-1001.html,69081,no,399,,,Clear,Babamio,Black,Acetate,Round,Narrow (< 131 mm),Full Rim,44 mm,18 mm,Kids,Glasses,No,40 mm,,,,,,,,,,,
Babamio ICELYN Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-icelyn-kids-ages-2-4-years-000145-1409.html,69082,no,399,,,Clear,Babamio,Green,Acetate,Round,Narrow (< 131 mm),Full Rim,44 mm,18 mm,Kids,Glasses,No,40 mm,,,,,,,,,,,
Spectus FRANKIE,https://eyewa.com/ae-en/spectus-frankie-000236-0400.html,,,,,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,48 mm,23 mm,"Men, Women",Glasses,No,139 mm,,,,,,,,,,,
Spectus ASTRID,https://eyewa.com/ae-en/spectus-astrid-000235-1000.html,69170,no,399,,,Clear,Spectus,Pink,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Babamio JAYDEN Clip On - Kids 5-8 Years,https://eyewa.com/ae-en/babamio-jayden-clip-on-eyeglasses-kids-5-8-years-magneto11-c2.html,69088,no,449,,,Clear,Babamio,,Plastic,Cat Eye,Narrow (< 131 mm),Full Rim,48 mm,15 mm,Kids,Glasses,No,128.2 mm,,,,,,,,,,,
PUMA PE0133O,https://eyewa.com/ae-en/puma-pe0133o.html,60235,no,349,Matte,,Clear,PUMA,Black,Plastic,Rectangle,Wide (>139 mm),Full Rim,56 mm,15 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus MOLLY,https://eyewa.com/ae-en/spectus-molly-eyeglasses-000133-0100.html,69137,no,399,,,Clear,Spectus,Tortoise,Acetate,Rectangle,Normal (132-138 mm),Full Rim,45 mm,19 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus COOPER - Titanium,https://eyewa.com/ae-en/spectus-cooper-304-0218.html,69193,no,549,,,Clear,Spectus,Black,Titanium,Rectangle,Wide (>139 mm),Full Rim,54 mm,18 mm,Men,Glasses,No,141 mm,,,,,,,,,,,
Spectus LUTHER,https://eyewa.com/ae-en/spectus-luther-tortoise-01.html,69207,no,399,,,Clear,Spectus,Tortoise,Metal + Acetate,Square,Normal (132-138 mm),Full Rim,50 mm,21 mm,Men,Glasses,No,134 mm,,,,,,,,,,,
Spectus HAZEL,https://eyewa.com/ae-en/spectus-hazel-blue-04.html,69206,no,399,,,Clear,Spectus,White,Metal,Round,Wide (>139 mm),Full Rim,54 mm,18 mm,Women,Glasses,No,139.8 mm,,,,,,,,,,,
Spectus SALLY,https://eyewa.com/ae-en/spectus-sally-tf1557-48-001.html,69227,no,399,,,Clear,Spectus,Silver,Metal + Acetate,Round,Wide (>139 mm),Full Rim,48 mm,22 mm,"Men, Women",Glasses,No,145 mm,,,,,,,,,,,
Artlife CHURCHILL,https://eyewa.com/ae-en/artlife-churchill-al68197102.html,58392,no,399,Glossy,,Clear,Artlife,Silver,Metal,Round,Wide (>139 mm),Full Rim,52 mm,19 mm,"Men, Women",Glasses,No,145 mm,,,,,,,,,,,
Artlife STEVENSON,https://eyewa.com/ae-en/artlife-stevenson-al68069613.html,58391,no,399,Matte,,Clear,Artlife,Tortoise,Plastic,Rectangle,Wide (>139 mm),Full Rim,56 mm,14 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Mr. Wonderful Blue Oval,https://eyewa.com/ae-en/mr-wonderful-blue-oval-mw69067544.html,57707,no,399,Glossy,,Clear,Mr. Wonderful,Blue,Metal + Acetate,Oval,Wide (>139 mm),Full Rim,50 mm,21 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Puma 0310O,https://eyewa.com/ae-en/puma-0310o-0310o-003.html,69264,no,559,,,Clear,PUMA,Burgundy,Acetate,Square,Wide (>139 mm),Full Rim,53 mm,16 mm,Women,Glasses,No,,,,,,,,,,,,
McQ 0276O,https://eyewa.com/ae-en/mcq-0276o-0276o-003.html,69260,no,659,,,Clear,McQ,Pink,Acetate,Square,Wide (>139 mm),Full Rim,52 mm,16 mm,Women,Glasses,No,,,,,,,,,,,,
Spectus KAI,https://eyewa.com/ae-en/spectus-kai-000262-1300.html,69251,no,399,,,Clear,Spectus,Tortoise,Plastic + Stainless Steel + Wood,Round,Wide (>139 mm),Half Rim,49 mm,21 mm,Men,Glasses,No,,,,,,,,,,,,
Spectus GIANNI,https://eyewa.com/ae-en/spectus-gianni-000261-1200.html,69252,no,399,,,Clear,Spectus,Silver,Aluminium,Rectangle,Wide (>139 mm),Half Rim,61 mm,18 mm,Men,Glasses,No,,,,,,,,,,,,
Spectus NEVEDA,https://eyewa.com/ae-en/spectus-neveda-000260-2704.html,69253,no,399,,,Clear,Spectus,Silver,Stainless Steel + Wood,Square,Wide (>139 mm),Rimless,55 mm,18 mm,Men,Glasses,No,,,,,,,,,,,,
Spectus MONTANA - Titanium,https://eyewa.com/ae-en/spectus-montana-titanium-000259-2704.html,69254,no,399,,,Clear,Spectus,Silver,Titanium,Rectangle,Wide (>139 mm),Rimless,52 mm,17 mm,Men,Glasses,No,,,,,,,,,,,,
Babamio CARMEN - Kids Ages  2-4 Years,https://eyewa.com/ae-en/babamio-carmen-kids-ages-2-4-years-000154-0100.html,69086,no,399,,,Clear,Babamio,Black,Nylon,Rectangle,Narrow (< 131 mm),Full Rim,47 mm,14 mm,Kids,Glasses,No,28 mm,,,,,,,,,,,
Babamio MOJO Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-mojo-kids-age-2-4-years-000146-0600.html,69083,no,399,,,Clear,Babamio,Blue,Acetate,Round,Narrow (< 131 mm),Full Rim,42 mm,16 mm,Kids,Glasses,No,35 mm,,,,,,,,,,,
Ray-Ban - 0RX4323V,https://eyewa.com/ae-en/ray-ban-0rx4323v-2000.html,63123,no,589,Glossy,,Clear,Ray-Ban,Black,Metal + Acetate,Square,Wide (>139 mm),Full Rim,51 mm,20 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Spectus CATE,https://eyewa.com/ae-en/spectus-cate-000233-0900.html,69168,no,399,,,Clear,Spectus,Pink,Acetate,Cat Eye,Wide (>139 mm),Full Rim,52 mm,22 mm,Women,Glasses,No,139 mm,,,,,,,,,,,
Spectus BROOKS,https://eyewa.com/ae-en/spectus-brooks-000242-1500.html,69177,no,399,,,Clear,Spectus,Black,Acetate,Round,Normal (132-138 mm),Full Rim,51 mm,22 mm,"Men, Women",Glasses,No,138.6 mm,,,,,,,,,,,
Babamio JULES Clip On - Kids 5-8 Years,https://eyewa.com/ae-en/babamio-jules-clip-on-eyeglasses-kids-5-8-years-magneto37-c4.html,69091,no,449,,,Clear,Babamio,,Plastic,Round,Narrow (< 131 mm),Full Rim,41 mm,20 mm,Kids,Glasses,No,119.4 mm,,,,,,,,,,,
Babamio TOBIN Clip On - Kids 5-8 Years,https://eyewa.com/ae-en/babamio-tobin-clip-on-eyeglasses-kids-5-8-years-magneto23-c1.html,69089,no,449,,,Clear,Babamio,,Plastic,Square,Narrow (< 131 mm),Full Rim,48 mm,15 mm,Kids,Glasses,No,127.6 mm,,,,,,,,,,,
McQ MQ0269O,https://eyewa.com/ae-en/mcq-mq0269o-001.html,69109,no,769,,,Clear,McQ,Gold,Metal,Round,Wide (>139 mm),Full Rim,56 mm,16 mm,"Men, Women",Glasses,No,145 mm,,,,,,,,,,,
PUMA PU0262O,https://eyewa.com/ae-en/puma-pu0262o-002.html,69112,no,549,,,Clear,PUMA,Black,Acetate,Cat Eye,Normal (132-138 mm),Full Rim,51 mm,16 mm,Women,Glasses,No,135 mm,,,,,,,,,,,
ROAV Malta,https://eyewa.com/ae-en/roav-malta-6002-12.html,69120,no,699,,,Clear,ROAV,Gold,Metal,Aviator,Narrow (< 131 mm),Full Rim,51 mm,17 mm,"Men, Women",Glasses,No,119 mm,,,,,,,,,,,
Spectus ROSANA,https://eyewa.com/ae-en/spectus-rosana-eyeglasses-000142-0100.html,69142,no,399,,,Clear,Spectus,Black,Acetate,Cat Eye,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus ELIOSE,https://eyewa.com/ae-en/spectus-eliose-tortoise-03.html,69204,no,399,,,Clear,Spectus,Tortoise,Metal + Acetate,Cat Eye,Normal (132-138 mm),Full Rim,52 mm,19 mm,Women,Glasses,No,137.9 mm,,,,,,,,,,,
Spectus KINGSTON,https://eyewa.com/ae-en/spectus-kingston-000173-0200.html,69156,no,399,,,Clear,Spectus,,Acetate,Rectangle,Wide (>139 mm),Full Rim,55 mm,17 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Spectus SIENNA,https://eyewa.com/ae-en/spectus-sienna-000171-1100.html,69154,no,399,,,Clear,Spectus,Tortoise,Acetate,Cat Eye,Wide (>139 mm),Full Rim,54 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus ADRIANNA,https://eyewa.com/ae-en/spectus-adrianna-000169-1309.html,69152,no,399,,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,50 mm,21 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus ADRIAN,https://eyewa.com/ae-en/spectus-adrian-000185-1300.html,69162,no,399,,,Clear,Spectus,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,40 mm,19 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Spectus LIAM,https://eyewa.com/ae-en/spectus-liam-000183-0100.html,69161,no,399,,,Clear,Spectus,Transparent,Acetate,Round,Wide (>139 mm),Full Rim,43 mm,19 mm,Men,Glasses,No,148 mm,,,,,,,,,,,
Babamio POPPY - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-poppy-kids-ages-5-8-000125-0900.html,69078,no,399,,,Clear,Babamio,Brown,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,47 mm,15 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Babamio STAR - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-star-kids-ages-5-8-000124-2000.html,69077,no,399,,,Clear,Babamio,Blue,Acetate,Rectangle,Narrow (< 131 mm),Full Rim,47 mm,15 mm,Kids,Glasses,No,130 mm,,,,,,,,,,,
Spectus SUZETTE,https://eyewa.com/ae-en/spectus-suzette-000182-1300.html,69160,no,399,,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,16 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus ESTELLE,https://eyewa.com/ae-en/spectus-estelle-000176-0109.html,69259,no,399,,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,49 mm,19 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus THEODORE,https://eyewa.com/ae-en/spectus-theodore-tf1539-56-004.html,69222,no,399,,,Clear,Spectus,Black,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,56 mm,17 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Artlife LETO,https://eyewa.com/ae-en/artlife-leto-al68295201.html,58395,no,399,Matte,,Clear,Artlife,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,57 mm,13 mm,Men,Glasses,No,140 mm,,,,,,,,,,,
Artlife GORDON,https://eyewa.com/ae-en/artlife-gordon-al68282101.html,58394,no,399,Glossy,,Clear,Artlife,Gold,Metal,Aviator,Wide (>139 mm),Full Rim,53 mm,17 mm,"Men, Women",Glasses,No,145 mm,,,,,,,,,,,
Spectus VICTORIA,https://eyewa.com/ae-en/spectus-victoria-tf1507-53-004.html,58301,no,399,Glossy,,Clear,Spectus,Tortoise,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,53 mm,15 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus Martin,https://eyewa.com/ae-en/spectus-martin-tf1438-54-003.html,58296,no,399,Glossy,,Clear,Spectus,Blue,Metal + Acetate,Rectangle,Normal (132-138 mm),Full Rim,54 mm,9 mm,Men,Glasses,No,135 mm,,,,,,,,,,,
Mr. Wonderful Pink Cat Eye,https://eyewa.com/ae-en/mr-wonderful-pink-cat-eye-mw69087567.html,57713,no,399,Glossy,,Clear,Mr. Wonderful,Pink,Acetate,Cat Eye,Wide (>139 mm),Full Rim,51 mm,18 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Mr. Wonderful Tortoise Cat Eye,https://eyewa.com/ae-en/mr-wonderful-tortoise-cat-eye-mw69032595.html,55633,no,399,Glossy,,,Mr. Wonderful,Tortoise,Plastic,Cat Eye,Normal (132-138 mm),,54 mm,16 mm,Women,Glasses,No,135 mm,,,,,,,,,,,
Mr. Wonderful Gold Aviator,https://eyewa.com/ae-en/mr-wonderful-gold-aviator-mw69116101.html,57704,no,399,Glossy,,Clear,Mr. Wonderful,Gold,Metal,Aviator,Normal (132-138 mm),Full Rim,53 mm,15 mm,Women,Glasses,No,135 mm,,,,,,,,,,,
Puma PU0304O,https://eyewa.com/ae-en/puma-pu0304o-004-gray.html,69257,no,469,,,Clear,PUMA,Gray,Plastic,Round,Wide (>139 mm),Full Rim,51 mm,21 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
McQ MQ0245OP,https://eyewa.com/ae-en/mcq-mq0245op.html,60260,no,769,Matte,,Clear,McQ,Black,Metal,Square,Normal (132-138 mm),Full Rim,52 mm,15 mm,Men,Glasses,No,135 mm,,,,,,,,,,,
PUMA PU0261O,https://eyewa.com/ae-en/puma-pu0261o.html,60229,no,449,Glossy,,Clear,PUMA,Gray,Acetate,Square,Wide (>139 mm),Full Rim,50 mm,18 mm,"Men, Women",Glasses,No,145 mm,,,,,,,,,,,
ROAV Ace,https://eyewa.com/ae-en/roav-ace-6004-14.html,69118,no,699,,,Clear,ROAV,Gold,Metal,Round,Narrow (< 131 mm),Full Rim,49 mm,20 mm,"Men, Women",Glasses,No,118 mm,,,,,,,,,,,
Spectus MAX - Titanium,https://eyewa.com/ae-en/spectus-max-309-0118.html,69198,no,549,,,Clear,Spectus,Black,Titanium,Oval,Normal (132-138 mm),Full Rim,52 mm,20 mm,Men,Glasses,No,138 mm,,,,,,,,,,,
Spectus NATALIE,https://eyewa.com/ae-en/spectus-natalie-eyeglasses-000121-0100.html,59412,no,399,Glossy,,Clear,Spectus,Black,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,18 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus LUCAS,https://eyewa.com/ae-en/spectus-lucas-tortoise-02.html,69205,no,399,,,Clear,Spectus,Tortoise,Metal + Acetate,Hexagon,Wide (>139 mm),Full Rim,51 mm,20 mm,Men,Glasses,No,140.8 mm,,,,,,,,,,,
Spectus CHRISTOFFER,https://eyewa.com/ae-en/spectus-christoffer-tf1351-49-003.html,69212,no,399,,,Clear,Spectus,Black,Acetate,Round,Wide (>139 mm),Full Rim,49 mm,20 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Mr. Wonderful Gold Round,https://eyewa.com/ae-en/mr-wonderful-gold-round-mw69115221.html,57705,no,399,Matte,,Clear,Mr. Wonderful,Gold,Metal,Round,Normal (132-138 mm),Full Rim,48 mm,19 mm,Women,Glasses,No,135 mm,,,,,,,,,,,
Spectus NORA,https://eyewa.com/ae-en/spectus-nora-eye-glasses-000137-1324.html,69140,no,399,,,Clear,Spectus,Red,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,16 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus JOE,https://eyewa.com/ae-en/spectus-joe-brown-01.html,69200,no,399,,,Clear,Spectus,Brown,Metal,Round,Normal (132-138 mm),Full Rim,51 mm,19 mm,Men,Glasses,No,132.8 mm,,,,,,,,,,,
McQ MQ0275O,https://eyewa.com/ae-en/mcq-mq0275o-002-tortoise.html,63715,no,659,Glossy,,Clear,McQ,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,,,,,,,,,,,,
McQ MQ0289O,https://eyewa.com/ae-en/mcq-mq0289o-002-tortoise.html,63716,no,799,Glossy,,Clear,McQ,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,55 mm,18 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Puma PU0307O,https://eyewa.com/ae-en/puma-pu0307o-003-brown.html,69258,no,469,,,Clear,PUMA,Blue,Plastic,Rectangle,Wide (>139 mm),Full Rim,56 mm,19 mm,Men,Glasses,No,,,,,,,,,,,,
Puma PU0311O,https://eyewa.com/ae-en/puma-pu0311o-004-blue.html,69256,no,469,,,Clear,PUMA,Pink,Plastic,Cat Eye,Wide (>139 mm),Full Rim,54 mm,16 mm,Women,Glasses,No,,,,,,,,,,,,
Ray-Ban - 0RX7140,https://eyewa.com/ae-en/ray-ban-0rx7140-2000.html,63118,no,719,Matte,,Clear,Ray-Ban,Black,Metal + Acetate,Round,Wide (>139 mm),Full Rim,51 mm,20 mm,Women,Glasses,No,,,,,,,,,,,,
Ray-Ban - 0RX5228,https://eyewa.com/ae-en/ray-ban-0rx5228-2000.html,63109,no,679,Glossy,,Clear,Ray-Ban,Black,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,17 mm,Men,Glasses,No,,,,,,,,,,,,
Vogue - 0VO2998,https://eyewa.com/ae-en/vogue-0vo2998-2347.html,63085,no,499,Matte,,Clear,Vogue,Purple,Metal + Acetate,Cat Eye,Normal (132-138 mm),Full Rim,52 mm,16 mm,Women,Glasses,No,,,,,,,,,,,,
Stella McCartney SC0246O-2,https://eyewa.com/ae-en/stella-mccartney-sc0246o-2-30008734002.html,69233,no,1299,,,Clear,Stella McCartney,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,51 mm,17 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
McQ MQ0236OA,https://eyewa.com/ae-en/mcq-mq0236oa.html,60257,no,769,Glossy,,Clear,McQ,Black,Acetate,Hexagon,Wide (>139 mm),Full Rim,54 mm,16 mm,Men,Glasses,No,150 mm,,,,,,,,,,,
McQ MQ0252O,https://eyewa.com/ae-en/mcq-mq0252o.html,60254,no,589,Glossy,,Clear,McQ,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,16 mm,"Men, Women",Glasses,No,145 mm,,,,,,,,,,,
ROAV Milo,https://eyewa.com/ae-en/roav-milo-6009-11.html,69121,no,699,,,Clear,ROAV,Gold,Metal,Aviator,Narrow (< 131 mm),Full Rim,52 mm,18 mm,"Men, Women",Glasses,No,122 mm,,,,,,,,,,,
30Sundays HIGH TIDE,https://eyewa.com/ae-en/30sundays-high-tide-eyeglasses-000105-0216.html,59406,no,399,Glossy,,Clear,30Sundays,Blue,Acetate,Square,Wide (>139 mm),Full Rim,51 mm,21 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Spectus MILANI,https://eyewa.com/ae-en/spectus-milani-eyeglasses-000145-1300.html,69143,no,399,,,Clear,Spectus,Red,Acetate,Rectangle,Normal (132-138 mm),Full Rim,53 mm,17 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Artlife FLAUBERT,https://eyewa.com/ae-en/artlife-flaubert-al68303102.html,69063,no,399,,,Clear,Artlife,Gray,Metal,Aviator,Wide (>139 mm),Full Rim,56 mm,16 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Ray-Ban JACK - 0RX6465,https://eyewa.com/ae-en/ray-ban-0rx6465-2945.html,69117,no,639,,,Clear,Ray-Ban,Gold,Metal,Irregular,Wide (>139 mm),Full Rim,51 mm,20 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Ray-Ban - 0RX7159,https://eyewa.com/ae-en/ray-ban-0rx7159-2000.html,63119,no,679,Glossy,,Clear,Ray-Ban,Black,Metal + Acetate,Round,Wide (>139 mm),Full Rim,52 mm,20 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Spectus ZOE,https://eyewa.com/ae-en/spectus-zoe-000239-0704.html,,,,,,Clear,Spectus,Gray,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,51 mm,21 mm,Women,Glasses,No,141 mm,,,,,,,,,,,
Stella McCartney SC0245O-4,https://eyewa.com/ae-en/stella-mccartney-sc0245o-4-30008733004.html,69232,no,1299,,,Clear,Stella McCartney,Tortoise,Acetate,Cat Eye,Wide (>139 mm),Full Rim,50 mm,18 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
Puma 0301O,https://eyewa.com/ae-en/puma-0301o-0301o-003.html,69262,no,659,,,Clear,PUMA,Blue,Plastic,Round,Wide (>139 mm),Full Rim,52 mm,19 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
McQ 0292O,https://eyewa.com/ae-en/mcq-0292o-0292o-003.html,69261,no,799,,,Clear,McQ,Gold,Metal,Cat Eye,Wide (>139 mm),Full Rim,55 mm,18 mm,Women,Glasses,No,,,,,,,,,,,,
Puma PU0300O,https://eyewa.com/ae-en/puma-pu0300o-003-blue.html,63717,no,659,Matte,,Clear,PUMA,Blue,Plastic,Rectangle,Wide (>139 mm),Full Rim,57 mm,16 mm,Men,Glasses,No,,,,,,,,,,,,
McQ MQ0240OP,https://eyewa.com/ae-en/mcq-mq0240op.html,60259,no,769,Glossy,,Clear,McQ,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,51 mm,16 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
Ray-Ban - 0RX5388,https://eyewa.com/ae-en/ray-ban-0rx5388-2000.html,63132,no,679,Glossy,,Clear,Ray-Ban,Black,Acetate,Square,Wide (>139 mm),Full Rim,51 mm,20 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Ray-Ban HEXAGONAL - 0RX7151,https://eyewa.com/ae-en/ray-ban-0rx7151-2000.html,63129,no,679,Glossy,,Clear,Ray-Ban,Black,Acetate,Irregular,Wide (>139 mm),Full Rim,52 mm,19 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Ray-Ban ERIKA - 0RX7046,https://eyewa.com/ae-en/ray-ban-0rx7046-5365.html,69115,no,539,,,Clear,Ray-Ban,Black,Metal + Acetate,Round,Wide (>139 mm),Full Rim,51 mm,18 mm,Women,Glasses,No,,,,,,,,,,,,
Spectus JOSHUA,https://eyewa.com/ae-en/spectus-joshua-eyeglasses-tf1353-49-001.html,69213,no,399,,,Clear,Spectus,Black,Acetate,Round,Normal (132-138 mm),Full Rim,49 mm,21 mm,Men,Glasses,No,145 mm,,,,,,,,,,,
Via Pampa Aero Bic Light Havana Square,https://eyewa.com/ae-en/via-pampa-aero-bic-light-havana-square-aerbic02-49.html,13419,no,399,Glossy,,,Via Pampa,Brown,Plastic,Square,Normal (132-138 mm),,49 mm,18 mm,"Men, Women",Glasses,No,135 mm,,,,,,,,,,,
Ray-Ban JOHN - 0RX5394,https://eyewa.com/ae-en/ray-ban-0rx5394-2144.html,63135,no,639,Glossy,,Clear,Ray-Ban,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,51 mm,18 mm,"Men, Women",Glasses,No,,,,,,,,,,,,
Ray-Ban - 0RX7160,https://eyewa.com/ae-en/ray-ban-0rx7160-5868.html,63136,no,759,Glossy,,Clear,Ray-Ban,Red,Metal + Acetate,Irregular,Wide (>139 mm),Full Rim,52 mm,18 mm,Women,Glasses,No,,,,,,,,,,,,
ROAV Dallas,https://eyewa.com/ae-en/roav-dallas-6005-11.html,69119,no,699,,,Clear,ROAV,Gold,Metal,Square,Narrow (< 131 mm),Full Rim,49 mm,20 mm,"Men, Women",Glasses,No,118 mm,,,,,,,,,,,
Babamio PENNY Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-penny-kids-ages-2-4-years-000148-0200.html,63287,no,399,Glossy,,Clear,Babamio,Blue,Acetate,Rectangle,Narrow (< 131 mm),Full Rim,46 mm,15 mm,Kids,Glasses,No,32 mm,,,,,,,,,,,
Stella McCartney SC0243O-1,https://eyewa.com/ae-en/stella-mccartney-sc0243o-1-30008731001.html,69231,no,899,,,Clear,Stella McCartney,Gold,Metal,Cat Eye,Wide (>139 mm),Full Rim,56 mm,16 mm,Women,Glasses,No,145 mm,,,,,,,,,,,
PUMA PE0128O,https://eyewa.com/ae-en/puma-pe0128o.html,60233,no,349,Glossy,,Clear,PUMA,Tortoise,Plastic,Rectangle,Normal (132-138 mm),Full Rim,51 mm,14 mm,Women,Glasses,No,135 mm,,,,,,,,,,,
Babamio JAX - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-jax-kids-ages-5-8-eye-glasses-000105-0420.html,69069,no,399,,,Clear,Babamio,Black,Acetate,Cat Eye,Normal (132-138 mm),Full Rim,48 mm,16 mm,Kids,Glasses,No,132 mm,,,,,,,,,,,
Spectus MARGARET,https://eyewa.com/ae-en/spectus-margaret-000175-1300.html,58807,no,399,Glossy,,Clear,Spectus,Tortoise,Acetate,Round,Normal (132-138 mm),Full Rim,50 mm,20 mm,Women,Glasses,Yes,138 mm,,,,,,,,,,,
Spectus SAMANTHA,https://eyewa.com/ae-en/spectus-samantha-000174-1300.html,58806,no,399,Glossy,,Clear,Spectus,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,49 mm,18 mm,Women,Glasses,Yes,143 mm,,,,,,,,,,,
Babamio JAIDEN - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-jaiden-kids-ages-5-8-000119-0100.html,58767,no,399,Glossy,,Clear,Babamio,Black,Acetate,Rectangle,Narrow (< 131 mm),Full Rim,46 mm,15 mm,Kids,Glasses,No,128 mm,,,,,,,,,,,
Babamio MARVIN - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-marvin-tf1348-46-002.html,69092,no,399,,,Clear,Babamio,Black,Plastic,Round,Narrow (< 131 mm),Full Rim,46 mm,16 mm,Kids,Glasses,No,127 mm,,,,,,,,,,,
Via Pampa Doublo Rea,https://eyewa.com/ae-en/via-pampa-doublo-rea-col-01.html,69243,no,399,,,Clear,Via Pampa,Black,Acetate,Cat Eye,Wide (>139 mm),Full Rim,51 mm,17 mm,Women,Glasses,No,140 mm,,,,,,,,,,,
