,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Anesthesia - Addict - 2 lenses - Azure,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-azure.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Soiree - 2 lenses - Giada,https://eyewa.com/ae-en/la-loggia-soiree-pack-of-2-giada.html,12429,no,220,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Colorvision - 2 lenses - Dark Gray,https://eyewa.com/ae-en/colorvision-pack-of-2-dark-gray.html,13033,no,180,,,,Colorvision,,,,,,,,,,,,,14.2 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Sama Lenses - Daily Collection - 10 lenses - Sweet Brown,https://eyewa.com/ae-en/sama-lenses-daily-collection-10-lenses-sweet-brown.html,13025,no,120,,,,Sama Lenses,,,,,,,,,,,,,14.2 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 10 lenses
Sama Lenses - Daily Collection - 10 lenses - Brown Gray,https://eyewa.com/ae-en/sama-lenses-daily-collection-10-lenses-brown-gray.html,13025,no,120,,,,Sama Lenses,,,,,,,,,,,,,14.2 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 10 lenses
Freshlook Mystic - 30 lenses - Mystic Grey,https://eyewa.com/ae-en/freshlook-mystic-pack-of-30-mystic-grey.html,12946,yes,215,,,,FreshLook,,,,,,,,,,,,188,13.8 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 30 lenses
Anesthesia - Addict - 2 lenses - Nieve,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-nieve.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - Vegas Pearl,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-vegas-pearl.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - Vegas Gray,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-vegas-gray.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - Chicago Blonde,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-chicago-blonde.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
